name,type,country,city,details,coordinates,latitude,longitude,searches_within_500m,conversions_within_500m,conversion_rate,stashpoints_within_500m
Gran Teatre del Liceu,Theatre,Spain,Barcelona,"One of the most prestigious opera houses in Europe, known for its exceptional acoustics.","41.3801969, 2.1732948",41.3801969,2.1732948,205,10,0.0487804878,14
Sagrada Familia,Landmark,Spain,Barcelona,"A large unfinished Roman Catholic church designed by Antoni Gaudí, an iconic symbol of Barcelona.","41.4036299, 2.1743558",41.4036299,2.1743558,204,21,0.1029411765,15
Theatre Royal,Theatre,United Kingdom,Glasgow,,"55.8663514, -4.256219",55.8663514,-4.256219,201,19,0.09452736318,3
Buckingham Palace,Landmark,United Kingdom,London,"The official residence of the British monarch, known for its grand architecture and iconic Changing of the Guard ceremony.","51.501364, -0.14189",51.501364,-0.14189,200,21,0.105,2
Freihausviertel,Neighbourhood,Austria,Vienna,,"48.20806959999999, 16.3713095",48.2080696,16.3713095,199,18,0.09045226131,1
Schaumburgergrund,Neighbourhood,Austria,Vienna,,"48.20806959999999, 16.3713095",48.2080696,16.3713095,199,18,0.09045226131,1
Botschaftsviertel,Neighbourhood,Austria,Vienna,,"48.20806959999999, 16.3713095",48.2080696,16.3713095,199,18,0.09045226131,1
Gare de Lyon,Train Station,France,Paris,"One of the seven major train stations in Paris, serving as a hub for regional and high-speed trains.","48.84430380000001, 2.3743773",48.8443038,2.3743773,199,20,0.1005025126,8
Widmerviertel,Neighbourhood,Austria,Vienna,,"48.20806959999999, 16.3713095",48.2080696,16.3713095,199,18,0.09045226131,1
Paris-Gare de Lyon,Train Station,France,Paris,"One of the six major train stations in Paris, serving trains to southeastern France and Switzerland.","48.84430380000001, 2.3743773",48.8443038,2.3743773,199,20,0.1005025126,8
Southern Cross Station,Train Station,Australia,Melbourne,"The busiest train station in Melbourne, serving regional and interstate routes.","-37.81839, 144.9525",-37.81839,144.9525,195,19,0.09743589744,6
Brighton Station,Train Station,United Kingdom,Brighton,,"50.8288519, -0.1410151",50.8288519,-0.1410151,194,24,0.1237113402,8
Teatro Nacional de Panama,Theatre,Panama,Panama City,"The main theatre in Panama City, hosting various cultural performances and events.","8.9528341, -79.53312559999999",8.9528341,-79.5331256,194,18,0.09278350515,3
Chueca,Neighbourhood,Spain,Madrid,"A popular and diverse neighbourhood in Madrid, known for its LGBT-friendly atmosphere and events.","40.423093, -3.6995645",40.423093,-3.6995645,192,19,0.09895833333,14
MIA Airport,,United States,Miami,,"25.7923496, -80.28230590000001",25.7923496,-80.2823059,192,6,0.03125,0
Miami International Airport,Airport,United States,Miami,,"25.7923496, -80.28230590000001",25.7923496,-80.2823059,192,6,0.03125,0
Cardiff Queen Street Station,Train Station,United Kingdom,Cardiff,,"51.4819233, -3.1706814",51.4819233,-3.1706814,191,25,0.1308900524,4
Capitol Theatre,Theatre,Australia,Sydney,,"-33.8793987, 151.2063031",-33.8793987,151.2063031,190,12,0.06315789474,7
Hofburgkapelle,Landmark,Austria,Vienna,"A historic chapel inside the Hofburg Palace, known for its stunning Baroque interior and famous Vienna Boys' Choir.","48.2067363, 16.36567",48.2067363,16.36567,187,17,0.09090909091,3
Chinatown,Neighbourhood,Australia,Sydney,"A vibrant neighbourhood in Sydney with a rich Chinese heritage, offering a variety of restaurants, shops, and cultural events.","-33.8796467, 151.2059177",-33.8796467,151.2059177,186,12,0.06451612903,7
Dublin Connolly,Train Station,Ireland,Dublin,,"53.3519762, -6.248480799999999",53.3519762,-6.2484808,185,17,0.09189189189,7
Casa Batlló,Landmark,Spain,Barcelona,"A unique and colourful building designed by Antoni Gaudí, now a museum open to the public.","41.3917, 2.164918",41.3917,2.164918,184,23,0.125,3
St. Stephan's Cathedral,Landmark,Austria,Schwechat,"A magnificent Gothic cathedral in Vienna, known for its stunning architecture and religious significance.","48.2084114, 16.3734707",48.2084114,16.3734707,183,16,0.08743169399,4
St. Stephen’s Cathedral (Stephansdom),,Austria,Vienna,,"48.2084114, 16.3734707",48.2084114,16.3734707,183,16,0.08743169399,4
St. Stephen's Cathedral,Landmark,Austria,Vienna,"One of the most iconic landmarks in Vienna, this Gothic cathedral is known for its beautiful architecture and important role in the city's history.","48.2084114, 16.3734707",48.2084114,16.3734707,183,16,0.08743169399,4
Manchester Town Hall,Landmark,United Kingdom,Manchester,"A stunning example of Gothic Revival architecture, the town hall is a popular landmark and venue for events in Manchester.","53.4789561, -2.2440023",53.4789561,-2.2440023,182,22,0.1208791209,9
Toronto Union Station,Train Station,Canada,Toronto,,"43.6452621, -79.3805536",43.6452621,-79.3805536,180,6,0.03333333333,3
Scotiabank Arena,Stadium,Canada,Toronto,,"43.6434661, -79.3790989",43.6434661,-79.3790989,180,7,0.03888888889,3
Union Station (GO/VIA/TTC),,Canada,Toronto,,"43.64539920000001, -79.3798073",43.6453992,-79.3798073,179,6,0.03351955307,3
Westminster Abbey,Landmark,United Kingdom,London,"A historic church and UNESCO World Heritage Site, known for its royal coronations and burials.","51.4993695, -0.1272993",51.4993695,-0.1272993,179,26,0.1452513966,3
Great Victoria Street Station,Train Station,United Kingdom,Belfast,,"54.5932292, -5.9342376",54.5932292,-5.9342376,176,27,0.1534090909,3
Glasgow Film Theatre,Theatre,United Kingdom,Glasgow,"A historic cinema showing independent, foreign, and classic films.","55.865662, -4.261247",55.865662,-4.261247,171,23,0.134502924,5
Glasgow Film Theatre,Theatre,Scotland,Glasgow,"An independent cinema and one of the oldest in Scotland, showcasing a diverse range of films.","55.865662, -4.261247",55.865662,-4.261247,171,23,0.134502924,5
Theatre Royal Brighton,Theatre,United Kingdom,Brighton,,"50.82332779999999, -0.1397068",50.8233278,-0.1397068,171,24,0.1403508772,6
Downtown Boston (fan zone area),,United States,Boston,,"42.35552750000001, -71.0565313",42.3555275,-71.0565313,168,10,0.05952380952,4
Roma Street Station,Train Station,Australia,Brisbane,"A major train station in Brisbane, serving as a hub for regional and suburban trains.","-27.4657381, 153.0187162",-27.4657381,153.0187162,167,11,0.06586826347,2
Eiffel Tower,Landmark,France,Paris,"One of the most iconic landmarks in Paris, known for its stunning views and cultural significance.","48.85837009999999, 2.2944813",48.8583701,2.2944813,166,14,0.0843373494,2
Marvel Stadium,Stadium,Australia,Melbourne,,"-37.8164974, 144.9475972",-37.8164974,144.9475972,163,14,0.08588957055,3
Greyhound Bus Station,Bus Station,United States,Washington D.C.,"The main bus station in Washington D.C., serving national and international routes.","38.89729, -77.006203",38.89729,-77.006203,163,8,0.0490797546,0
Charles de Gaulle Airport,Airport,France,Paris,"One of the busiest airports in Europe, serving as the main international airport for Paris.","48.8735283, 2.3218961",48.8735283,2.3218961,161,21,0.1304347826,4
Leeds Station,Train Station,United Kingdom,Leeds,,"53.7949721, -1.5473907",53.7949721,-1.5473907,161,11,0.06832298137,2
Union Station,Train Station,United States,Washington D.C.,,"38.89832020000001, -77.00611359999999",38.8983202,-77.0061136,160,8,0.05,0
Albert Square,City Center,United Kingdom,Manchester,"The main square in Manchester, home to the iconic Manchester Town Hall and a popular gathering spot for locals and tourists alike.","53.479603, -2.2455401",53.479603,-2.2455401,159,19,0.1194968553,8
Edinburgh Playhouse,Theatre,United Kingdom,Edinburgh,,"55.9568976, -3.1853968",55.9568976,-3.1853968,158,13,0.08227848101,4
South Station,,United States,Boston,,"42.3519448, -71.0551625",42.3519448,-71.0551625,156,9,0.05769230769,2
Old Town,Neighbourhood,Czech Republic,Prague,,"50.0876983, 14.4211483",50.0876983,14.4211483,153,22,0.1437908497,11
Town Hall Station,Train Station,Australia,Sydney,,"-33.8732453, 151.2071329",-33.8732453,151.2071329,153,10,0.06535947712,2
Plaza de España,Landmark,Spain,Madrid,"A large square in Madrid, known for its beautiful architecture and iconic statue of Cervantes.","40.423669, -3.7109528",40.423669,-3.7109528,153,10,0.06535947712,10
Old Town Square,,Czech Republic,Prague,,"50.0875692, 14.4211874",50.0875692,14.4211874,153,22,0.1437908497,11
Brighton Dome,Theatre,United Kingdom,Brighton,,"50.8236999, -0.1380842",50.8236999,-0.1380842,148,22,0.1486486486,7
Suncorp Stadium,Stadium,Australia,Brisbane,"A multi-purpose stadium in Brisbane, hosting major sporting events and concerts.","-27.4647989, 153.0096108",-27.4647989,153.0096108,148,3,0.02027027027,1
Merchants Quay,Neighbourhood,Ireland,Dublin,,"53.3441883, -6.2732313",53.3441883,-6.2732313,147,24,0.1632653061,6
Gaiety Theatre,Theatre,Ireland,Dublin,,"53.34046129999999, -6.2615754",53.3404613,-6.2615754,147,17,0.1156462585,4
Atarazanas Market,Landmark,Spain,Malaga,A bustling indoor market selling fresh produce and local delicacies.,"36.7181669, -4.4241106",36.7181669,-4.4241106,145,9,0.06206896552,4
NEMO Science Museum,Museum,Netherlands,Amsterdam,"A hands-on science museum in Amsterdam, offering interactive exhibits and educational activities for all ages.","52.3675734, 4.9041389",52.3675734,4.9041389,145,5,0.03448275862,2
Amsterdam Centrum,City Center,Netherlands,Amsterdam,"The historic city center of Amsterdam, known for its picturesque canals, narrow streets and charming architecture.","52.36759199999999, 4.904146900000001",52.367592,4.9041469,145,5,0.03448275862,2
Calle Larios,,Spain,Malaga,,"36.7194687, -4.421575",36.7194687,-4.421575,145,9,0.06206896552,4
Calle Larios,Landmark,Spain,Malaga,"A bustling pedestrian street in the city center, lined with shops and restaurants.","36.7194687, -4.421575",36.7194687,-4.421575,145,9,0.06206896552,4
Theatre Royal,Theatre,United Kingdom,Bath,,"51.3820512, -2.3625459",51.3820512,-2.3625459,144,27,0.1875,5
Cairns Railway Station,Train Station,Australia,Cairns,,"-16.925773, 145.77113",-16.925773,145.77113,144,10,0.06944444444,3
Basilica di San Pietro in Vincoli,Landmark,Italy,Rome,"A church in Rome, known for housing the famous sculpture of Moses by Michelangelo.","41.89379840000001, 12.4931498",41.8937984,12.4931498,144,9,0.0625,9
The Egg Theatre,Theatre,United Kingdom,Bath,,"51.38184, -2.3632433",51.38184,-2.3632433,144,27,0.1875,5
Teatro Verdi,Theatre,Italy,Florence,,"43.7702262, 11.2610393",43.7702262,11.2610393,144,9,0.0625,3
De Wallen,Landmark,Netherlands,Amsterdam,"The largest and most famous red-light district in Amsterdam, known for its lively nightlife and unique character.","52.3718604, 4.895861000000001",52.3718604,4.895861,142,10,0.07042253521,17
Cartagena Bus Terminal,Bus Station,Colombia,Cartagena,"The main bus terminal in Cartagena, serving national and international routes.","10.3932277, -75.4832311",10.3932277,-75.4832311,141,3,0.02127659574,0
Royal Exchange Theatre,Theatre,United Kingdom,Manchester,,"53.4823441, -2.245185",53.4823441,-2.245185,140,13,0.09285714286,7
Oxford Station,Train Station,United Kingdom,Oxford,,"51.7532879, -1.2699127",51.7532879,-1.2699127,138,18,0.1304347826,1
State Theatre,Theatre,Australia,Sydney,,"-33.8708292, 151.2076151",-33.8708292,151.2076151,138,7,0.05072463768,6
Oxford Railway Station,Train Station,United Kingdom,Oxford,A major railway station connecting Oxford to various destinations across the UK.,"51.7532879, -1.2699127",51.7532879,-1.2699127,138,18,0.1304347826,1
Teatro della Pergola,Theatre,Italy,Florence,,"43.77321, 11.261556",43.77321,11.261556,137,6,0.04379562044,4
Estação de São Bento,Train Station,Portugal,Porto,,"41.1456094, -8.6103747",41.1456094,-8.6103747,137,12,0.08759124088,16
Quartier du Palais Royal,Neighbourhood,France,Paris,,"48.865221, 2.3353643",48.865221,2.3353643,133,5,0.03759398496,2
Aeropuerto Internacional Benito Juárez,Airport,Mexico,Mexico City,,"19.4360762, -99.07190829999999",19.4360762,-99.0719083,133,2,0.01503759398,0
Sydney Tower Eye,Landmark,Australia,Sydney,"An observation tower and popular tourist attraction in Sydney, offering panoramic views of the city.","-33.8703155, 151.2088801",-33.8703155,151.2088801,133,7,0.05263157895,6
AICM Airport,,Mexico,Mexico City,,"19.4360762, -99.07190829999999",19.4360762,-99.0719083,133,2,0.01503759398,0
München Hauptbahnhof,Train Station,Germany,Munich,,"48.1404358, 11.5578497",48.1404358,11.5578497,132,1,0.007575757576,5
Munich Hauptbahnhof,Train Station,Germany,Munich,"The main railway station in Munich, serving as a major hub for both regional and international train lines.","48.1404358, 11.5578497",48.1404358,11.5578497,132,1,0.007575757576,5
Colosseum,,Italy,Rome,,"41.8902102, 12.4922309",41.8902102,12.4922309,131,4,0.03053435115,5
Colosseum,Landmark,Italy,Rome,"An iconic landmark of Rome, known as the largest amphitheater ever built.","41.8902102, 12.4922309",41.8902102,12.4922309,131,4,0.03053435115,5
Shakespeare's Globe,Theatre,United Kingdom,London,,"51.508076, -0.09719399999999999",51.508076,-0.097194,130,17,0.1307692308,6
Playhouse Theatre,Theatre,Australia,Hobart,,"-42.8815034, 147.3252383",-42.8815034,147.3252383,130,12,0.09230769231,3
Wynyard Station,Train Station,Australia,Sydney,,"-33.8660077, 151.2055521",-33.8660077,151.2055521,129,12,0.09302325581,7
Barcelona Sants,Train Station,Spain,Barcelona,,"41.3754426, 2.1355003",41.3754426,2.1355003,128,8,0.0625,3
Bruxelles-Midi,Train Station,Belgium,Brussels,,"50.83644020000001, 4.3370087",50.8364402,4.3370087,127,5,0.03937007874,5
Quartier de la Sorbonne,Neighbourhood,France,Paris,,"48.8495925, 2.3448768",48.8495925,2.3448768,126,18,0.1428571429,4
Gare Saint-Lazare,Train Station,France,Paris,"One of the six major train stations in Paris, serving as a hub for regional and suburban trains.","48.877243, 2.3253114",48.877243,2.3253114,125,13,0.104,5
Gran Vía,City Center,Spain,Madrid,"A major street in Madrid, known for its grand architecture and bustling atmosphere.","40.4189329, -3.6968903",40.4189329,-3.6968903,125,11,0.088,8
Automobile and Fashion Museum,Museum,Spain,Malaga,A unique museum showcasing a collection of vintage cars and fashion items.,"36.7178196, -4.425557",36.7178196,-4.425557,124,9,0.07258064516,3
Mansion House,Neighbourhood,Ireland,Dublin,,"53.34029710000001, -6.2578301",53.3402971,-6.2578301,124,20,0.1612903226,2
Bondi Beach,Tourist Attraction,Australia,Sydney,"One of the most famous and popular beaches in Australia, known for its golden sand, clear water, and lively atmosphere.","-33.8914755, 151.2766845",-33.8914755,151.2766845,123,10,0.08130081301,2
Teatro Municipal de Santiago,Theatre,Chile,Santiago,,"-33.4408442, -70.6475847",-33.4408442,-70.6475847,123,14,0.1138211382,2
Hobart Central Bus Station,Bus Station,Australia,Hobart,,"-42.8811566, 147.323987",-42.8811566,147.323987,122,11,0.09016393443,3
Dorchester Square,City Center,Canada,Montreal,A historic public square in downtown Montreal and a popular gathering place for locals and tourists.,"45.4999969, -73.5717135",45.4999969,-73.5717135,122,4,0.03278688525,4
Napoli Centrale,Train Station,Italy,Naples,,"40.8530135, 14.2723254",40.8530135,14.2723254,121,5,0.04132231405,15
